company_name,city,province,industry_tags,why_match,likely_roles,website,careers_url,evidence_sources,confidence_score
Wingsmagazine,Edmonton,Alberta,"AI/ML, Ai","Tech focus: artificial intelligence, AI.",ML Engineer,https://www.wingsmagazine.com/alberta-partnering-with-ai-company-to-try-to-predict-wildfires-before-they-ignite/,https://www.wingsmagazine.com/careers,https://www.wingsmagazine.com/alberta-partnering-with-ai-company-to-try-to-predict-wildfires-before-they-ignite/,20
Alberta Machine Intelligence Institute,Other Alberta,Alberta,"AI/ML, Ai","Tech focus: machine learning, AI.",ML Engineer,https://albertainnovates.ca/strategic-initiatives/alberta-machine-intelligence-institute/,https://albertainnovates.ca/careers,https://albertainnovates.ca/strategic-initiatives/alberta-machine-intelligence-institute/; https://albertainnovates.ca/about/careers/; https://albertainnovates.ca/news/planning-your-first-fundraise/; https://albertainnovates.ca/news/speakers-announced-for-albertas-largest-innovation-event/; https://albertainnovates.ca/news/speakers-announced-for-albertas-largest-innovation-event/,20
Alberta CAN,Other Alberta,Alberta,"AI/ML, Ai","Tech focus: machine learning, AI.",ML Engineer,https://investalberta.ca/albertas-ai-industry/,https://investalberta.ca/careers,https://investalberta.ca/albertas-ai-industry/; https://investalberta.ca/albertas-ai-industry/,20
Digitaljournal,Edmonton,Alberta,Ai,Tech focus: AI.,ML Engineer,https://www.digitaljournal.com,https://www.digitaljournal.com/tech-science/edmonton-firms-join-forces-on-ai-tool-to-speed-up-canadian-policy-work/article,https://www.digitaljournal.com/tech-science/edmonton-firms-join-forces-on-ai-tool-to-speed-up-canadian-policy-work/article; https://www.digitaljournal.com/tech-science/yyc-datacon-2025-unpacks-calgarys-tech-momentum-and-whats-next/article,20
Edmonton,Edmonton,Alberta,"AI/ML, Ai","Tech focus: artificial intelligence, AI.",ML Engineer,https://edmonton.citynews.ca/2025/03/05/edmonton-experiments-with-ai-to-predict-and-identify-potholes/,https://edmonton.citynews.ca/careers,https://edmonton.citynews.ca/2025/03/05/edmonton-experiments-with-ai-to-predict-and-identify-potholes/,20
Marketing Manager,Edmonton,Alberta,Ai,Tech focus: AI.,ML Engineer,https://allstarjobs.ca,https://allstarjobs.ca/marketing-advertising-pr-jobs/marketing-manager-158fb554-d8b3-41b7-8b07-7aa8a6d262da,https://allstarjobs.ca/marketing-advertising-pr-jobs/marketing-manager-158fb554-d8b3-41b7-8b07-7aa8a6d262da,20
Amii aims to draw talent to Edmonton for AI Week,Edmonton,Alberta,"AI/ML, Ai","Tech focus: artificial intelligence, AI.",ML Engineer,https://edmonton.taproot.news/news/2022/02/16/amii-aims-to-draw-talent-to-edmonton-for-ai-week,https://edmonton.taproot.news/careers,https://edmonton.taproot.news/news/2022/02/16/amii-aims-to-draw-talent-to-edmonton-for-ai-week; https://edmonton.taproot.news/news/2022/02/16/amii-aims-to-draw-talent-to-edmonton-for-ai-week; https://edmonton.taproot.news/news/2025/06/25/edmonton-forms-new-partnership-with-calgary-to-strengthen-tech-in-both-cities; https://edmonton.taproot.news/news/2023/10/12/edmonton-tech-companies-recognized-for-social-impact-fundraising-skill; https://edmonton.taproot.news/stories/2021/building-innovate-edmonton-the-first-four-months; https://edmonton.taproot.news/pulse/2024/10/03; https://edmonton.taproot.news/news/2023/10/12/edmonton-tech-companies-recognized-for-social-impact-fundraising-skill; https://edmonton.taproot.news/news/2021/05/20/runwithit-synthetics-recognized-as-most-edmonton-startup; https://edmonton.taproot.news/news/2023/10/12/edmonton-tech-companies-recognized-for-social-impact-fundraising-skill; https://edmonton.taproot.news/news/2023/10/12/edmonton-tech-companies-recognized-for-social-impact-fundraising-skill; https://edmonton.taproot.news/news/2025/06/25/edmonton-forms-new-partnership-with-calgary-to-strengthen-tech-in-both-cities; https://edmonton.taproot.news/news/2021/05/20/runwithit-synthetics-recognized-as-most-edmonton-startup; https://edmonton.taproot.news/stories/2019/digital-dreams-building-an-ai-industry-in-alberta/,20
Theedmontonite,Edmonton,Alberta,"AI/ML, Ai","Tech focus: machine learning, AI.",ML Engineer,https://theedmontonite.com/best-machine-learning-programs-in-edmonton/,https://theedmontonite.com/careers,https://theedmontonite.com/best-machine-learning-programs-in-edmonton/,20
Careers360,Alberta (unspecified),Alberta,AI/ML,Tech focus: machine learning.,ML Engineer,https://www.careers360.com,https://www.careers360.com/courses-certifications/coursera-machine-learning-courses-brp-org,https://www.careers360.com/courses-certifications/coursera-machine-learning-courses-brp-org; https://www.careers360.com/university/university-of-alberta-edmonton/courses-frnp,20
Ai in canada,Edmonton,Alberta,"AI/ML, Ai","Tech focus: artificial intelligence, AI.",ML Engineer,https://aquariusai.ca/blog/ai-in-canada-advancements-opportunities-and-challenges-in-the-canadian-artificial-intelligence-industry,https://aquariusai.ca/careers,https://aquariusai.ca/blog/ai-in-canada-advancements-opportunities-and-challenges-in-the-canadian-artificial-intelligence-industry; https://aquariusai.ca/blog/ai-in-canada-advancements-opportunities-and-challenges-in-the-canadian-artificial-intelligence-industry,20
Computerjobs,Edmonton,Alberta,Cloud,Tech focus: cloud.,Platform Engineer,https://www.computerjobs.com,"https://www.computerjobs.com/ca/en/cloud-developer-jobs-in-edmonton,-alberta,-canada/","https://www.computerjobs.com/ca/en/cloud-developer-jobs-in-edmonton,-alberta,-canada/",20
Sginnovate,Other Alberta,Alberta,AI/ML,Tech focus: artificial intelligence.,,https://www.sginnovate.com/event/artificial-intelligence-research-strength-and-ecosystem-alberta-canada,https://www.sginnovate.com/careers,https://www.sginnovate.com/event/artificial-intelligence-research-strength-and-ecosystem-alberta-canada,20
Machine Learning / Computer Vision Developer...,Alberta (unspecified),Alberta,AI/ML,Tech focus: machine learning.,ML Engineer,https://www.remotepython.com,https://www.remotepython.com/jobs/fb4ec3ca11a54714bd45b2e1eab10b4a/,https://www.remotepython.com/jobs/fb4ec3ca11a54714bd45b2e1eab10b4a/; https://www.remotepython.com/jobs/fb4ec3ca11a54714bd45b2e1eab10b4a/,20
Search Salaries. Benchmark Compensation & Careers,Other Alberta,Alberta,AI/ML,Tech focus: machine learning.,ML Engineer,https://6figr.com/us/salary/great-lakes-greenhouses,https://6figr.com/careers,https://6figr.com/us/salary/great-lakes-greenhouses,20
Glassdoor,Other Alberta,Alberta,AI/ML,Tech focus: machine learning.,ML Engineer,https://www.glassdoor.sg,"https://www.glassdoor.sg/Job/alberta-machine-learning-consultant-jobs-SRCH_IL.0,7_IS4074_KO8,35.htm","https://www.glassdoor.sg/Job/alberta-machine-learning-consultant-jobs-SRCH_IL.0,7_IS4074_KO8,35.htm",20
Albertaai,Edmonton,Alberta,"AI/ML, Ai","Tech focus: artificial intelligence, AI.",ML Engineer,https://www.albertaai.org/albertai-kaggle-event/,https://www.albertaai.org/careers,https://www.albertaai.org/albertai-kaggle-event/,20
The Bitter Lesson of Machine Learning,Other Alberta,Alberta,"AI/ML, Ai","Tech focus: machine learning, AI.",ML Engineer,https://www.kdnuggets.com/2020/07/bitter-lesson-machine-learning.html,https://www.kdnuggets.com/careers,https://www.kdnuggets.com/2020/07/bitter-lesson-machine-learning.html,20
Sites,Alberta (unspecified),Alberta,"AI/ML, Ai","Tech focus: machine learning, AI.",ML Engineer,https://sites.google.com/view/aaai22-imlw,https://sites.google.com/careers,https://sites.google.com/view/aaai22-imlw,20
Data Science Jobs in Calgary,Calgary,Alberta,Data Science,Tech focus: data science.,,https://www.drjobpro.com,https://www.drjobpro.com/canada/data-science-jobs-in-calgary,https://www.drjobpro.com/canada/data-science-jobs-in-calgary,20
Tamara Sajic,Calgary,Alberta,Energy,Domain fit: energy.,,https://ca.bebee.com/bee/tamara-sajic,https://ca.bebee.com/careers,https://ca.bebee.com/bee/tamara-sajic; https://ca.bebee.com/bee/chanpreet-singh-810; https://ca.bebee.com/bee/vadim-elagin,18
Bennettjones,Other Alberta,Alberta,"Ai, Energy",Tech focus: AI. Domain fit: energy.,ML Engineer,https://www.bennettjones.com/Insights/Blogs/Albertas-Data-Centre-Advantage-A-Growing-Hotspot-for-Critical-Digital-Infrastructure,https://www.bennettjones.com/careers,https://www.bennettjones.com/Insights/Blogs/Albertas-Data-Centre-Advantage-A-Growing-Hotspot-for-Critical-Digital-Infrastructure,18
Edmontonglobal,Edmonton,Alberta,"Ai, HealthTech",Tech focus: AI. Domain fit: healthtech.,ML Engineer,https://edmontonglobal.ca/sectors/life-sciences/healthtech,https://edmontonglobal.ca/careers,https://edmontonglobal.ca/sectors/life-sciences/healthtech; https://edmontonglobal.ca/sectors-old2/ai-and-technology/robotics-and-automous-vehicles/; https://edmontonglobal.ca/news/flourishing-software-app-jobber-blazing-the-trail-for-alberta-tech-startups/; https://edmontonglobal.ca/news/flourishing-software-app-jobber-blazing-the-trail-for-alberta-tech-startups/,18
Telecomreviewcanada,Other Alberta,Alberta,"Ai, Energy",Tech focus: AI. Domain fit: energy.,ML Engineer,https://www.telecomreviewcanada.com/articles/general-news/1177-driving-industrial-innovation-alberta-s-tech-ecosystem-gains-momentum/,https://www.telecomreviewcanada.com/careers,https://www.telecomreviewcanada.com/articles/general-news/1177-driving-industrial-innovation-alberta-s-tech-ecosystem-gains-momentum/,18
An Alberta Pioneer in Artificial Intelligence,Other Alberta,Alberta,"AI/ML, Energy",Tech focus: artificial intelligence. Domain fit: energy.,,https://businessofenergy.ca/business-of-energy/2024-boe-profiles/an-alberta-pioneer-in-artificial-intelligence/,https://businessofenergy.ca/careers,https://businessofenergy.ca/business-of-energy/2024-boe-profiles/an-alberta-pioneer-in-artificial-intelligence/,18
10Peaks,Calgary,Alberta,CleanTech,"Domain fit: cleantech, clean tech.",,https://www.10peaks.ca/blog/building-a-sustainable-and-diverse-economy-through-clean-tech-in-alberta,https://www.10peaks.ca/careers,https://www.10peaks.ca/blog/building-a-sustainable-and-diverse-economy-through-clean-tech-in-alberta,16
"Alberta Energy , Technology and Innovation",Other Alberta,Alberta,Energy,"Domain fit: energy, oil and gas.",,https://www.ivey.uwo.ca/energycentre/events/2018/11/alberta-energy-technology-and-innovation/,https://www.ivey.uwo.ca/careers,https://www.ivey.uwo.ca/energycentre/events/2018/11/alberta-energy-technology-and-innovation/,16
"Top Toronto, Ontario Healthtech Companies 2025",Alberta (unspecified),Alberta,HealthTech,"Domain fit: healthtech, healthcare.",,https://builtintoronto.com/companies/type/healthtech-companies,https://builtintoronto.com/careers,https://builtintoronto.com/companies/type/healthtech-companies,16
Data Engineer,Calgary,Alberta,,Hiring for: data engineer.,Data Engineer,https://digitalcareers.infosys.com,https://digitalcareers.infosys.com/global-careers/company-job/description/reqid/137623BR,https://digitalcareers.infosys.com/global-careers/company-job/description/reqid/137623BR,15
AECOM Jobs,Calgary,Alberta,,Hiring for: data engineer.,Data Engineer,https://aecom.jobs,https://aecom.jobs/data-engineer/jobs-in/calgary/alberta/can/jobs/,https://aecom.jobs/data-engineer/jobs-in/calgary/alberta/can/jobs/; https://aecom.jobs/alberta/can/jobs/canada/new-jobs/?_ga=1.213063570.761116157.1460196049; https://aecom.jobs/data-center-mechanical-engineering-lead/jobs-in/alberta/can/jobs/,15
Search jobs,Edmonton,Alberta,,Hiring for: software engineer.,Software Engineer,https://na.careers.hologic.com,https://na.careers.hologic.com/search?&region=North+America&jobFamily=Technical+&amp;+Engineering,https://na.careers.hologic.com/search?&region=North+America&jobFamily=Technical+&amp;+Engineering,15
Software engineer shortage in Canada drives...,Alberta (unspecified),Alberta,,Hiring for: software engineer.,Software Engineer,https://skilledworker.com/software-engineer-shortage-in-canada-drives-lucrative-wages-for-those-with-the-right-skills/,https://skilledworker.com/careers,https://skilledworker.com/software-engineer-shortage-in-canada-drives-lucrative-wages-for-those-with-the-right-skills/,15
